Facility Information ,,,,,,No. Of Water Fountains,,Restroom Type,No. of Baby Changing Stations,No. of Showers,Cooling Center
Facility Name ,Facility Address,CD,Bathroom ONLY,Water ONLY,Combo: Bathroom + Water,Standard,Bottle Fillers ,Number of Restrooms,,,
105th Street Park,"609 West 105th Street Los Angeles, CA 90044",8,,x,,1,,,,,
109th Street Recreation Center,"1464 East 109th Street Los Angeles, CA 90059",15,,,x,1,1,5,,,
111th Place Park ,"207 East 111th Place Los Angeles, CA 90061",8,,x,,1,,,,,
11th Avenue Park ,"6116 11th Avenue Los Angeles, CA 90043",8,,x,,1,1,,,,
49th Street Park,"670 East 49th Street Los Angeles, CA 90011",9,,x,,1,,,,,
61st Street Park,"139 East 61st Street Park Los Angeles, CA 90003",9,,x,,1,,,,,
97th Street Park ,"554 West 97th Street Los Angeles, CA 90044",8,,x,,1,,,,,
Algin Sutton Recreation Center,"8800 South Hoover Street Los Angeles, CA 90044",8,,,x,1,3,10,,1,X
Albert Piantanida Intergenerational Center,"9540 Van Nuys Blvd Panorama City, CA 91402",6,,,x,2,,4,,,
Albion Riverside Park,"1739 North Albion Street Los Angeles, CA 90031",1,,,x,2,2,2,2,,
Alexandria Park,"Laurelgrove Avenue and Erwin Street North Hollywood, CA 91605",2,,x,,1,,,,,
Angeles Mesa Park,"2700 West 52nd Street Los Angeles, CA 90043",8,,x,,1,,,,,
Aliso Canyon Park ,"18041 Rinaldi Sreet Porter Ranch, CA 91326 ",12,,,x,1,,2,,,
Alma Park,"West 21st Street and Meyler Street San Pedro, CA 90731",15,,x,,,1,,,,
Alpine Recreation Center,"817 Yale Street Los Angeles, CA 90012",1,,,x,3,1,5,,,
Alvarado Terrace Park ,"1342 S Alvarado St, Los Angeles, CA 90006",1,,x,,,1,,,,
Amistad Park ,"13116 Kagel Canyon Street Pacoima, CA 91331",7,,x,,1,,,,,
Anderson Memorial Center,"828 South Mesa Street San Pedro, CA 90731",15,,,x,1,,5,,,
Andres and Maria Cardenas Recreation Center,"14740 Blythe Street Panorama, CA 91402",6,,,x,1,1,5,,,
Andres Pico Adobe Park,"10940 Sepulveda Blvd. Mission Hills, CA 91345",7,,,x,,,2,,,
Betty Hill Senior Citizen Center ,"3570 South Denker Avenue Los Angeles, CA 90018 ",8,,,x,,1,2,,,
Angels Gate Park,"3601 South Gaffey Street San Pedro, CA 90731",15,,,x,2,,3,,,
Anthony Beilenson Park/Lake Balboa ,6300 Balboa Blvd. Van Nuys CA 91406,6,,x,,8,,,,,
Arts District Park ,"501 South Hewitt Street Los Angeles, CA 90013",14,,x,,,1,,,,
Ascot Hills Park,"4371 Multnomah Street Los Angeles, CA 90032",14,,,x,1,1,2,,,
Augustus F. Hawkins Nature Park,"5790 Compton Avenue Los Angeles, CA 90011",9,,,x,1,2,3,2,,
Avalon and Gage Triangle Pocket Park,"6301 South Avalon Blvd. Los Angeles, CA 90003",9,,x,,2,,,,,
Averill Park ,"1300 Dodson Avenue San Pedro, CA 90732",15,,,x,2,,2,4,,
Balboa Sports Complex,17015 Burbank Blvd. Encino CA 91316 ,6,,,x,10,4,13,3,,
Baldwin Hills Recreation Center,"5401 Highlight Place Los Angeles, CA 90016",10,,,x,10,1,7,,,
Bandini Canyon Park/Marshall Court,"341 N Marshall Ct, San Pedro, CA 90731",15,,x,,1,,,,,
Bandini Canyon Trails Park,"West Sepulveda Street between Bandini and Gaffey San Pedro, CA 90731",15,,x,,1,,,,,
Banning Park and Recreation Center,"1331 Eubank Avenue Wilmington, CA 90744",15,,,x,3,1,8,,,
Banning Residence Museum ,"401 East M. Street Wilmington, CA 90744",15,,,x,2,,2,,,
Barrington Park ,"333 South Barrington Avenue Los Angeles, CA 90049",11,,,x,3,2,4,2,,
Bee Canyon Park ,"17301 Sesnon Blvd Granada Hills, CA 91344",12,,x,,3,,,,,
Bellaire Avenue Park ,"7960 Bellaire Avenue North Hollywood, CA 91605",2,,x,,1,,,,,
Bellevue Recreation Center ,"826 Lucile Avenue Los Angeles, CA 90026",13,,,x,3,1,5,1,,
Benny H Potter West Adams Avenues Memorial Park,"2413 South 2nd Avenue Los Angeles, CA 90018",10,,,x,2,,2,,,
Bernardi Multipurpose Senior Center ,"6514 Sylmar Avenue Van Nuys, CA 91401 ",6,x,,,,,3,,,
Betty Davis ,"1850 Riverside Drive Glendale, CA 91201",13,x,,,,,2,,,
Curtis Roland Park ,"1287 West 38th Place Los Angeles, CA 90037",8,,x,,1,,,,,
Bird Sanctuary ,"2900 Vermont Canyon Road Los Angeles, CA 90027",4,,,x,1,,2,,,
Bishop Canyon (Elysian Park) ,"929 Academy Road Los Angeles, CA 90012",1,,,x,2,4,10,1,,
Bogdanovich Recreation Center,"1920 Cumbre Drive San Pedro, CA 90732",15,,,x,4,1,6,,,
Boy Scout Road,"Boy Scout Road Los Angeles, CA 90027",4,,,x,3,,10,,,
Boyle Heights Senior Citizen Center ,"2839 East 3rd Street Los Angeles, CA ",14,,,x,2,,4,,,
Boyle Heights Sports Center,"933 South Mott Street Los Angeles, CA 90023",14,,,x,3,,3,,,
Brand Park Memory Gardens ,"15174 San Fernando Mission Blvd. Mission Hills, CA 91345",7,,,x,4,,4,,,
Brandford Child Care Center ,"13310 Branford Street Arleta, CA 91131",6,,,x,2,,2,,,
Branford Recreation Center ,"13306 Branford Street Arleta, CA 91331",6,,,x,7,,6,,,
Bronson Canyon ,"3200 Canyon Drive Los Angeles, CA 90068",4,,x,,2,,,,,
Cabrillo Beach ,"3720 Stephen White Drive San Pedro, CA 90731",15,,x,,7,,,,,
Cabrillo Beach Bathouse ,"3800 Stephen White Drive San Pedro, CA 90731",15,,,x,,1,5,1,8,
Cabrillo Beach Marine Aquarium ,"3720 Stephen White Drive San Pedro, CA 90731",15,,,x,,1,10,4,1,
Camp Hollywoodland ,"3200 Canyon Drive Los Angeles, CA 90068",4,,,x,7,,9,1,12,
Camp De Cahuenga ,"3919 Lankershim Blvd. North Hollywood, CA 91604",2,,,x,2,,2,,,
Canoga Park Senior Citizen Center ,"7326 Jordan Avenue Canoga Park, CA 91303 ",3,,,x,1,,2,,,X
Carey Ranch Park ,"Laurel Canyon Blvd and Aztec Street Mission Hills, CA 91342",7,,x,,1,,,,,
Carlin G. Smith Recreation Center ,"511 W Ave 46 Los Angeles, CA 90065",1,,,x,3,,2,,,
